IDNOTA,IDCLIENTE,IDVENDEDOR,IDFORMA,IDPRODUTO,IDFORNECEDOR,IDTEMPO,QUANTIDADE
19975,793,13,3,49,10,74767,1
19977,985,7,24,204,31,74477,3
19979,858,5,1,126,37,74572,1
19981,294,7,24,118,18,74815,3
19983,487,9,26,103,13,74597,1
20003,420,10,23,52,9,74544,4
20004,613,2,20,170,13,74809,5
20004,613,2,20,74,16,74809,4
20005,722,10,4,107,21,74729,2
20006,298,16,22,12,2,74800,4
20007,16,16,12,3,1,74729,1
20008,928,22,16,227,34,74662,1
20009,2,21,4,188,28,74512,5
20010,847,7,6,154,40,74795,3
20011,314,15,9,175,39,74740,1
20012,150,20,13,187,28,74721,1
20013,389,24,1,135,21,74827,2
20014,691,18,13,124,23,74576,1
20015,458,4,8,149,26,74596,1
20016,961,17,6,46,10,74707,3
20017,361,15,15,231,36,74829,1
20018,613,16,8,231,36,74739,1
20019,41,16,10,83,18,74504,1
20020,59,16,4,207,31,74788,2
20021,990,16,6,40,8,74566,2
20021,990,16,6,215,33,74566,2
20022,777,14,3,198,38,74515,4
20022,777,14,3,192,29,74515,1
20024,17,6,3,110,25,74685,2
20026,395,13,16,78,17,74819,1
20028,734,22,18,75,16,74795,1
20030,826,4,6,215,33,74491,4
20030,826,4,6,230,35,74491,5
20032,917,5,12,81,18,74725,1
20034,884,4,6,157,40,74492,4
20034,884,4,6,15,3,74492,2
20036,56,9,21,118,18,74493,1
20038,297,17,11,14,3,74609,3
20038,297,17,11,122,22,74609,1
20040,340,7,16,106,21,74752,1
20042,634,7,11,230,35,74586,1
20044,21,22,17,128,37,74548,2
20046,610,6,23,88,23,74475,3
20048,453,8,21,155,40,74716,4
20048,453,8,21,112,41,74716,3
20050,296,10,9,32,6,74802,4
20052,962,24,20,120,18,74565,3
20054,714,21,11,120,18,74576,4
20056,14,14,24,49,10,74809,5
20058,651,1,18,169,13,74496,4
20060,579,1,26,120,18,74810,3
20060,579,1,26,91,17,74810,2
20060,579,1,26,44,10,74810,2
20080,652,1,26,193,19,74791,3
20081,401,9,1,134,21,74814,3
20082,254,6,9,2,1,74808,1
20083,933,20,18,126,37,74494,3
20084,769,14,15,8,22,74721,1
20085,398,14,13,149,26,74783,3
20086,643,24,21,103,13,74493,2
20086,643,24,21,101,18,74493,5
20087,396,11,15,107,21,74667,4
20087,396,11,15,108,21,74667,2
20088,632,11,25,148,13,74536,2
20089,751,10,25,26,6,74666,4
20090,162,8,14,222,33,74826,5
20090,162,8,14,125,23,74826,1
20090,162,8,14,32,6,74826,2
20091,901,1,13,169,13,74525,1
20092,538,8,10,228,34,74532,1
20093,15,24,11,51,9,74548,3
20093,15,24,11,161,18,74548,3
20093,15,24,11,76,16,74548,4
20093,15,24,11,156,40,74548,2
20094,441,15,12,45,10,74547,1
20095,62,10,26,208,31,74634,3
20096,849,15,23,106,21,74663,1
20097,950,3,12,231,36,74624,5
20097,950,3,12,226,34,74624,3
20097,950,3,12,141,24,74624,4
20098,815,24,13,150,16,74512,1
20099,220,3,1,105,21,74809,3
20099,220,3,1,147,26,74809,2
20099,220,3,1,218,34,74809,1
20101,747,24,3,13,2,74531,1
20103,737,18,13,55,9,74597,1
20105,719,22,21,8,22,74781,2
20107,259,4,16,146,26,74768,1
20109,111,3,16,25,5,74616,5
20109,111,3,16,50,10,74616,1
20111,54,6,5,121,22,74752,1
20113,470,7,9,62,12,74719,1
20115,121,8,19,89,23,74579,5
20115,121,8,19,11,22,74579,4
20117,133,2,18,45,10,74734,1
20119,607,21,21,119,18,74547,3
20119,607,21,21,97,25,74547,4
20121,249,7,16,126,37,74592,4
20121,249,7,16,21,4,74592,5
20123,165,13,11,141,24,74658,4
20125,203,16,24,123,22,74660,2
20127,178,20,25,163,18,74562,5
20129,555,12,8,122,22,74689,3
20131,277,13,8,106,21,74611,1
20133,559,17,2,61,12,74539,2
20135,632,23,9,35,7,74512,1
20137,374,19,24,94,17,74601,5
20137,374,19,24,76,16,74601,3
20137,374,19,24,80,18,74601,4
20157,967,22,9,230,35,74574,1
20158,581,6,1,57,11,74584,1
20159,388,17,12,206,31,74542,1
20160,151,18,9,60,11,74487,1
20161,599,17,18,153,22,74598,5
20161,599,17,18,213,32,74598,3
20162,498,13,18,31,6,74482,1
20163,54,24,21,6,22,74790,1
20164,192,1,22,133,13,74570,3
20164,192,1,22,191,19,74570,4
20165,336,1,12,228,34,74563,1
20166,688,16,20,25,5,74824,5
20167,846,22,1,151,22,74647,1
20168,212,8,8,220,35,74666,3
20168,212,8,8,157,40,74666,4
20169,99,3,2,122,22,74583,1
20169,99,3,2,12,2,74583,4
20170,408,5,17,120,18,74729,1
20171,481,18,13,94,17,74550,5
20171,481,18,13,53,9,74550,3
20172,230,8,1,116,41,74762,3
20173,80,13,23,43,10,74706,5
20174,644,14,13,77,16,74607,2
20174,644,14,13,90,17,74607,2
20175,43,2,8,62,12,74562,1
20175,43,2,8,36,8,74562,4
20175,43,2,8,36,8,74562,3
20175,43,2,8,114,41,74562,2
20176,722,7,26,77,16,74673,4
20176,722,7,26,187,28,74673,2
20178,250,8,19,182,18,74771,3
20180,194,2,23,47,9,74570,1
20182,422,13,5,120,18,74820,4
20184,940,24,10,221,35,74472,1
20186,567,7,12,119,18,74529,1
20188,983,10,12,64,12,74563,1
20190,528,2,2,206,31,74717,2
20190,528,2,2,223,33,74717,3
20192,705,17,8,10,22,74617,4
20194,50,20,18,88,23,74756,1
20196,260,8,16,216,33,74610,1
20198,613,18,26,81,18,74488,3
20198,613,18,26,89,23,74488,3
20200,336,3,22,172,25,74474,2
20202,990,23,20,11,22,74616,3
20204,34,10,11,125,23,74522,1
20206,178,8,17,81,18,74602,3
20206,178,8,17,21,4,74602,3
20208,159,6,6,68,13,74565,1
20210,273,23,7,74,16,74572,1
20212,349,12,24,62,12,74489,2
20214,198,23,22,161,18,74577,4
20234,300,7,1,194,19,74732,1
20234,300,7,1,154,40,74732,4
20234,300,7,1,76,16,74732,3
20235,219,11,9,107,21,74725,1
20236,837,6,25,179,39,74716,4
20236,837,6,25,36,8,74716,3
20237,955,20,18,93,17,74813,4
20238,516,2,3,92,17,74662,1
20239,500,24,15,197,20,74667,2
20239,500,24,15,231,36,74667,2
20239,500,24,15,143,21,74667,2
20239,500,24,15,201,27,74667,3
20240,74,17,13,113,41,74701,1
20241,639,13,21,26,6,74604,1
20242,737,14,21,108,21,74626,1
20243,281,18,19,225,34,74522,1
20244,597,13,23,36,8,74602,1
20245,478,11,3,186,27,74539,4
20246,324,24,5,179,39,74668,1
20247,790,10,16,43,10,74751,3
20248,849,13,4,217,34,74612,4
20249,292,1,26,148,13,74482,1
20250,166,20,7,200,27,74735,1
20250,166,20,7,196,19,74735,3
20251,463,21,11,208,31,74715,1
20252,193,4,6,227,34,74527,1
20253,219,7,26,96,25,74594,2
20255,415,17,16,152,21,74479,4
20255,415,17,16,94,17,74479,4
20257,751,24,22,43,10,74778,4
20257,751,24,22,88,23,74778,4
20259,747,4,12,189,29,74564,2
20259,747,4,12,217,34,74564,5
20259,747,4,12,33,6,74564,4
20261,278,24,5,215,33,74782,2
20263,914,12,11,100,25,74583,2
20265,45,7,18,7,22,74788,3
20267,353,22,20,216,33,74477,4
20269,940,8,1,95,21,74802,1
20271,976,20,13,124,23,74529,1
20273,74,23,18,56,11,74512,2
20275,795,3,2,174,14,74747,2
20277,321,4,2,87,23,74798,1
20279,235,11,13,23,7,74640,3
20279,235,11,13,140,24,74640,4
20279,235,11,13,30,6,74640,4
20281,2,2,16,74,16,74545,4
20281,2,2,16,99,25,74545,4
20283,276,13,21,114,41,74493,2
20283,276,13,21,222,33,74493,4
20285,605,18,19,20,4,74709,4
20285,605,18,19,209,30,74709,3
20287,276,2,9,31,6,74777,3
20287,276,2,9,217,34,74777,2
20287,276,2,9,200,27,74777,4
20287,276,2,9,128,37,74777,2
20287,276,2,9,9,22,74777,4
20289,531,10,16,96,25,74748,4
20289,531,10,16,56,11,74748,2
20289,531,10,16,18,6,74748,3
20291,607,13,24,27,7,74684,1
20311,584,1,15,70,14,74755,1
20312,781,13,17,221,35,74520,4
20313,793,7,19,123,22,74717,1
20314,300,19,6,99,25,74687,4
20315,225,10,9,54,9,74677,1
20316,722,19,21,184,14,74813,3
20316,722,19,21,109,21,74813,2
20316,722,19,21,126,37,74813,5
20317,983,15,26,233,11,74752,2
20318,743,10,10,120,18,74512,5
20319,382,21,20,176,25,74598,2
20319,382,21,20,64,12,74598,5
20320,462,13,1,2,1,74708,4
20320,462,13,1,74,16,74708,2
20321,134,15,10,200,27,74575,4
20321,134,15,10,108,21,74575,3
20322,385,4,15,5,1,74710,1
20323,545,20,24,110,25,74528,5
20323,545,20,24,136,23,74528,4
20324,711,14,25,154,40,74492,3
20324,711,14,25,163,18,74492,2
20325,709,13,3,161,18,74504,1
20326,569,21,22,76,16,74808,4
20326,569,21,22,4,1,74808,5
20326,569,21,22,161,18,74808,1
20327,74,5,15,17,5,74541,4
20328,317,9,20,86,18,74753,4
20329,138,23,22,140,24,74592,2
20329,138,23,22,167,14,74592,3
20330,225,23,19,158,40,74663,4
20332,117,7,15,24,7,74824,1
20334,900,24,19,173,38,74531,4
20336,261,6,3,160,18,74698,2
20338,925,15,24,27,7,74823,3
20338,925,15,24,130,18,74823,1
20340,66,21,7,178,39,74612,3
20340,66,21,7,61,12,74612,2
20342,90,20,3,132,13,74720,1
20344,179,11,24,180,39,74704,3
20346,633,19,19,14,3,74767,2
20346,633,19,19,230,35,74767,2
20348,337,15,13,36,8,74640,1
20350,503,17,23,12,2,74671,1
20350,503,17,23,195,27,74671,4
20352,832,8,14,147,26,74565,3
20352,832,8,14,129,37,74565,3
20354,124,5,1,47,9,74740,3
20354,124,5,1,19,7,74740,4
20356,794,24,22,163,18,74575,4
20358,586,6,11,40,8,74494,4
20358,586,6,11,160,18,74494,1
20360,719,14,26,88,23,74547,5
20362,944,8,3,14,3,74602,5
20364,52,6,26,116,41,74478,1
20366,14,3,14,169,13,74597,5
20366,14,3,14,62,12,74597,3
20368,148,10,5,228,34,74756,3
20368,148,10,5,221,35,74756,3
20388,638,14,21,86,18,74526,3
20389,663,2,4,3,1,74710,3
20390,515,19,23,31,6,74770,4
20390,515,19,23,180,39,74770,5
20390,515,19,23,63,12,74770,3
20390,515,19,23,31,6,74770,4
20391,331,16,16,181,39,74611,1
20392,186,23,25,123,22,74613,1
20393,606,23,18,48,9,74492,2
20393,606,23,18,51,9,74492,3
20393,606,23,18,71,14,74492,3
20393,606,23,18,101,18,74492,4
20394,242,13,8,209,30,74687,1
20395,927,19,6,174,14,74676,1
20396,152,15,2,152,21,74582,2
20397,191,13,12,129,37,74635,4
20398,858,17,8,51,9,74636,1
20399,710,21,13,52,9,74527,1
20400,241,14,3,31,6,74795,2
20401,683,3,18,133,13,74824,1
20402,232,2,23,60,11,74577,1
20403,551,14,17,41,9,74770,4
20403,551,14,17,217,34,74770,5
20404,52,1,14,199,20,74771,4
20404,52,1,14,184,14,74771,3
20405,200,13,2,223,33,74571,3
20405,200,13,2,200,27,74571,3
20406,84,19,6,181,39,74618,2
20407,798,8,1,10,22,74482,3
20409,511,8,6,55,9,74822,2
20411,478,23,15,197,20,74795,1
20411,478,23,15,174,14,74795,4
20413,723,21,18,131,25,74479,1
20415,188,18,23,77,16,74766,5
20417,86,5,13,215,33,74472,1
20419,722,18,26,1,1,74725,5
20419,722,18,26,73,15,74725,4
20421,877,3,16,54,9,74566,1
20423,37,16,20,183,18,74496,2
20425,157,19,1,228,34,74576,3
20427,713,12,3,186,27,74625,4
20427,713,12,3,174,14,74625,5
20429,363,1,7,98,21,74623,4
20431,682,20,8,218,34,74628,4
20433,688,13,10,170,13,74609,1
20435,391,16,14,11,22,74723,3
20437,115,5,2,18,6,74572,3
20439,905,23,17,191,19,74519,4
20441,547,18,22,104,13,74642,2
20441,547,18,22,8,22,74642,4
20441,547,18,22,30,6,74642,2
20443,462,15,21,171,13,74789,4
20445,911,16,23,211,31,74763,3
20465,866,21,11,104,13,74771,2
20465,866,21,11,93,17,74771,5
20466,902,14,26,90,17,74818,3
20467,164,24,5,185,27,74688,2
20468,342,13,15,109,21,74510,2
20468,342,13,15,57,11,74510,3
20469,821,12,14,128,37,74665,1
20470,288,7,7,123,22,74763,1
20471,770,15,19,57,11,74696,4
20472,855,14,18,232,36,74706,1
20473,727,2,2,118,18,74782,1
20474,306,24,25,208,31,74703,1
20475,438,7,7,227,34,74790,1
20476,254,24,16,150,16,74508,1
20477,613,17,8,8,22,74776,5
20478,996,2,10,217,34,74753,1
20479,662,21,12,183,18,74710,2
20480,879,24,9,206,31,74495,3
20481,62,16,3,125,23,74541,4
20482,782,16,1,79,17,74555,1
20483,633,6,20,228,34,74821,5
20483,633,6,20,109,21,74821,4
20483,633,6,20,70,14,74821,4
20483,633,6,20,100,25,74821,2
20484,905,9,8,40,8,74642,1
20486,114,8,12,88,23,74727,5
20486,114,8,12,128,37,74727,3
20488,875,14,2,148,13,74815,3
20488,875,14,2,193,19,74815,4
20490,625,7,11,213,32,74693,1
20492,312,18,5,215,33,74505,4
20492,312,18,5,182,18,74505,3
20494,130,3,25,55,9,74657,2
20494,130,3,25,162,18,74657,3
20496,897,10,20,108,21,74641,5
20498,224,17,19,200,27,74547,1
20500,805,14,19,145,13,74729,1
20502,551,13,17,138,24,74551,4
20502,551,13,17,30,6,74551,4
20504,9,14,17,202,38,74816,2
20504,9,14,17,195,27,74816,2
20506,195,24,11,41,9,74654,1
20508,238,4,12,183,18,74684,3
20510,87,6,5,95,21,74763,4
20510,87,6,5,195,27,74763,2
20510,87,6,5,71,14,74763,1
20512,785,7,12,94,17,74531,1
20514,635,22,24,123,22,74584,1
20516,432,6,6,198,38,74515,1
20518,646,9,16,47,9,74759,2
20518,646,9,16,124,23,74759,2
20518,646,9,16,39,8,74759,3
20520,994,22,18,156,40,74718,4
20520,994,22,18,78,17,74718,3
20522,747,12,14,191,19,74779,3
20542,507,10,21,69,13,74564,1
20543,156,1,22,177,13,74578,4
20544,833,18,7,80,18,74765,4
20545,622,12,25,32,6,74786,2
20546,579,1,8,102,13,74609,1
20547,475,16,7,186,27,74527,1
20548,713,21,26,106,21,74547,1
20549,726,6,9,96,25,74540,1
20550,891,9,23,65,12,74639,3
20550,891,9,23,59,11,74639,4
20551,415,13,9,40,8,74788,1
20552,184,8,3,18,6,74618,3
20553,563,2,3,21,4,74510,3
20553,563,2,3,176,25,74510,2
20554,850,17,8,35,7,74829,3
20555,298,6,8,154,40,74507,3
20555,298,6,8,209,30,74507,3
20556,178,11,11,134,21,74630,1
20557,863,20,5,50,10,74588,1
20558,286,15,11,144,26,74749,1
20559,845,8,3,114,41,74577,5
20559,845,8,3,185,27,74577,5
20560,446,20,22,171,13,74577,4
20561,505,15,9,128,37,74703,1
20563,408,15,10,14,3,74635,1
20565,468,19,19,59,11,74479,4
20565,468,19,19,90,17,74479,3
20567,203,6,24,138,24,74506,3
20569,212,9,7,53,9,74719,1
20571,497,6,4,166,14,74720,3
20571,497,6,4,112,41,74720,3
20573,891,16,22,130,18,74824,1
20575,118,14,24,172,25,74578,1
20577,971,9,5,34,7,74524,4
20577,971,9,5,130,18,74524,3
20579,544,19,13,199,20,74693,4
20579,544,19,13,54,9,74693,1
20581,618,12,4,14,3,74642,4
20583,85,6,18,180,39,74473,5
20583,85,6,18,177,13,74473,2
20585,191,11,9,133,13,74755,4
20585,191,11,9,115,41,74755,1
20585,191,11,9,73,15,74755,3
20587,873,23,7,31,6,74547,1
20589,148,5,25,229,35,74604,1
20591,21,5,5,106,21,74477,5
20593,6,15,12,28,7,74611,2
20595,801,4,3,201,27,74605,3
20595,801,4,3,143,21,74605,5
20597,853,2,18,89,23,74758,1
20599,809,13,21,179,39,74674,2
20619,141,16,12,219,36,74575,1
20620,106,9,4,72,15,74512,1
20621,137,19,4,39,8,74745,3
20621,137,19,4,177,13,74745,2
20622,59,18,2,153,22,74816,4
20623,541,12,24,181,39,74606,2
20623,541,12,24,130,18,74606,1
20624,538,24,19,107,21,74616,4
20624,538,24,19,111,25,74616,1
20625,870,1,3,192,29,74759,2
20626,646,14,6,133,13,74579,4
20627,104,13,1,135,21,74553,1
20628,783,18,25,212,32,74769,1
20629,87,15,1,113,41,74796,4
20630,884,14,3,84,18,74506,5
20631,356,4,7,41,9,74756,4
20631,356,4,7,140,24,74756,2
20632,803,21,6,57,11,74597,2
20633,924,15,26,44,10,74693,2
20633,924,15,26,205,31,74693,2
20633,924,15,26,141,24,74693,4
20634,934,6,21,82,18,74580,5
20635,979,24,7,2,1,74716,3
20635,979,24,7,108,21,74716,2
20636,942,11,22,219,36,74517,4
20637,973,7,25,215,33,74570,4
20637,973,7,25,179,39,74570,3
20637,973,7,25,98,21,74570,1
20638,857,8,16,152,21,74526,1
20640,570,8,18,129,37,74786,2
20640,570,8,18,215,33,74786,5
20642,623,24,8,192,29,74568,2
20644,891,6,3,213,32,74784,2
20644,891,6,3,56,11,74784,5
20646,142,20,17,115,41,74629,2
20648,330,21,24,103,13,74546,3
20648,330,21,24,4,1,74546,1
20648,330,21,24,35,7,74546,2
20650,728,4,4,205,31,74769,3
20650,728,4,4,192,29,74769,3
20650,728,4,4,35,7,74769,3
20652,371,10,24,165,14,74799,4
20652,371,10,24,60,11,74799,1
20654,520,17,1,217,34,74719,2
20654,520,17,1,218,34,74719,2
20656,973,14,14,166,14,74753,3
20658,447,4,19,131,25,74696,1
20660,382,14,22,212,32,74609,2
20660,382,14,22,125,23,74609,4
20660,382,14,22,41,9,74609,4
20660,382,14,22,81,18,74609,4
20662,790,18,15,97,25,74741,1
20664,134,14,2,233,11,74526,4
20664,134,14,2,194,19,74526,4
20666,69,10,7,84,18,74790,1
20668,867,22,21,162,18,74511,2
20668,867,22,21,41,9,74511,4
20670,840,17,16,12,2,74692,1
20672,714,19,19,184,14,74545,3
20672,714,19,19,8,22,74545,4
20674,969,23,1,221,35,74551,3
20676,45,9,21,14,3,74546,5
20676,45,9,21,166,14,74546,3
20696,7,16,15,172,25,74735,3
20696,7,16,15,211,31,74735,2
20697,512,7,18,227,34,74705,1
20698,40,22,7,24,7,74479,1
20699,48,5,7,101,18,74823,5
20699,48,5,7,109,21,74823,4
20700,459,23,12,43,10,74540,4
20701,596,24,9,224,34,74677,5
20701,596,24,9,174,14,74677,3
20701,596,24,9,28,7,74677,2
20702,407,6,3,187,28,74604,3
20703,457,12,9,89,23,74638,1
20704,784,5,4,109,21,74641,1
20704,784,5,4,41,9,74641,2
20705,997,10,18,93,17,74597,2
20706,572,12,3,93,17,74731,1
20707,383,16,19,177,13,74511,1
20708,700,4,25,10,22,74529,2
20708,700,4,25,54,9,74529,3
20708,700,4,25,39,8,74529,3
20709,747,20,22,89,23,74684,3
20710,322,21,26,147,26,74595,2
20710,322,21,26,143,21,74595,3
20711,22,18,22,70,14,74665,1
20712,777,17,22,51,9,74808,4
20713,566,9,3,141,24,74740,4
20713,566,9,3,82,18,74740,1
20714,549,14,12,162,18,74754,2
20715,912,19,4,174,14,74674,3
20715,912,19,4,215,33,74674,3
20717,524,6,16,111,25,74548,4
20719,37,23,14,189,29,74794,1
20721,675,7,14,10,22,74551,1
20723,936,9,7,157,40,74629,4
20725,226,8,7,100,25,74813,2
20727,973,4,9,91,17,74715,2
20729,43,20,11,15,3,74657,3
20731,787,6,10,23,7,74636,4
20733,7,24,13,135,21,74574,1
20735,1,3,24,140,24,74740,1
20737,348,21,16,95,21,74648,4
20737,348,21,16,179,39,74648,5
20739,434,21,23,132,13,74525,3
20741,187,10,9,212,32,74487,5
20741,187,10,9,64,12,74487,4
20743,888,23,7,72,15,74762,4
20745,352,8,17,116,41,74604,1
20745,352,8,17,129,37,74604,2
20747,751,23,17,227,34,74768,2
20749,844,13,13,14,3,74484,1
20751,591,20,6,213,32,74707,1
20753,176,4,5,140,24,74566,1
20773,859,1,18,74,16,74604,1
20774,117,7,17,48,9,74752,3
20775,50,2,22,42,9,74492,3
20775,50,2,22,49,10,74492,2
20776,531,6,9,210,31,74716,1
20777,465,15,15,10,22,74817,3
20778,609,24,7,175,39,74595,3
20778,609,24,7,28,7,74595,1
20779,265,1,1,205,31,74520,1
20780,240,24,1,211,31,74504,2
20781,142,10,2,233,11,74493,2
20782,417,10,9,112,41,74754,1
20782,417,10,9,143,21,74754,4
20782,417,10,9,50,10,74754,3
20783,980,1,11,168,13,74611,3
20784,62,24,13,186,27,74581,4
20785,830,1,14,214,32,74791,1
20786,757,8,10,1,1,74748,1
20787,936,15,4,207,31,74665,2
20788,222,22,10,230,35,74628,2
20789,356,5,11,106,21,74821,3
20790,742,2,18,95,21,74630,3
20790,742,2,18,195,27,74630,2
20791,38,9,5,13,2,74555,2
20791,38,9,5,96,25,74555,3
20792,637,14,2,51,9,74792,2
20792,637,14,2,28,7,74792,3
20792,637,14,2,206,31,74792,4
20792,637,14,2,133,13,74792,4
20792,637,14,2,118,18,74792,2
20794,746,16,25,183,18,74704,2
20796,945,24,11,65,12,74736,4
20796,945,24,11,150,16,74736,1
20798,600,2,19,230,35,74508,4
20800,606,14,18,55,9,74556,5
20802,440,24,2,200,27,74718,3
20804,562,3,17,74,16,74752,1
20806,726,3,9,215,33,74607,1
20808,146,18,11,162,18,74829,1
20810,120,11,11,27,7,74825,3
20810,120,11,11,3,1,74825,3
20812,619,24,26,166,14,74640,1
20814,58,3,14,193,19,74483,5
20816,610,22,25,160,18,74536,1
20816,610,22,25,5,1,74536,2
20818,987,3,10,8,22,74504,4
20820,920,3,3,135,21,74668,5
20822,242,4,13,125,23,74660,1
20824,159,9,26,48,9,74757,1
20826,631,4,21,228,34,74565,4
20826,631,4,21,51,9,74565,2
20828,296,2,12,148,13,74630,1
20830,920,6,22,16,4,74627,1
20850,192,23,11,113,41,74750,1
20851,947,6,19,59,11,74614,3
20852,817,20,8,134,21,74494,1
20853,764,9,15,195,27,74800,2
20854,19,1,19,178,39,74515,2
20855,774,13,26,27,7,74781,1
20856,166,2,21,5,1,74709,1
20857,78,21,22,178,39,74759,1
20858,551,1,1,79,17,74731,5
20859,281,18,24,47,9,74511,3
20860,703,16,17,68,13,74758,3
20861,642,14,11,200,27,74581,1
20862,401,12,6,53,9,74708,4
20862,401,12,6,78,17,74708,3
20863,853,6,4,90,17,74783,3
20864,142,11,5,119,18,74483,1
20865,948,3,12,189,29,74798,3
20866,64,20,14,145,13,74527,1
20867,876,11,2,102,13,74717,3
20868,366,19,24,31,6,74627,1
20869,499,7,13,159,40,74676,2
20869,499,7,13,55,9,74676,5
20871,158,12,5,183,18,74641,5
20871,158,12,5,198,38,74641,4
20873,736,21,21,124,23,74732,1
20875,33,24,24,213,32,74661,1
20875,33,24,24,125,23,74661,3
20877,394,3,24,54,9,74685,1
20879,26,12,9,56,11,74485,1
20881,959,3,10,52,9,74572,1
20883,774,6,5,65,12,74727,1
20885,810,11,23,121,22,74826,5
20887,767,22,1,178,39,74788,2
20889,804,9,18,214,32,74738,1
20891,597,18,23,165,14,74660,3
20893,352,24,17,163,18,74531,1
20895,207,6,4,41,9,74598,1
20897,679,13,26,231,36,74707,1
20899,836,3,2,71,14,74741,3
20899,836,3,2,156,40,74741,3
20899,836,3,2,29,4,74741,2
20901,671,19,1,56,11,74759,4
20903,826,1,6,149,26,74473,2
20905,920,20,26,199,20,74596,3
20907,828,13,24,181,39,74519,1
20927,70,9,14,164,14,74475,4
20928,153,20,10,221,35,74509,1
20929,951,24,17,167,14,74724,1
20930,79,11,21,166,14,74725,2
20931,409,23,17,178,39,74663,4
20932,867,5,3,62,12,74667,4
20933,930,5,20,69,13,74544,1
20934,240,2,13,226,34,74518,4
20935,894,4,6,152,21,74573,3
20935,894,4,6,86,18,74573,1
20936,457,5,11,232,36,74578,1
20937,275,23,8,91,17,74733,1
20938,801,17,11,148,13,74644,4
20939,95,2,2,89,23,74517,4
20939,95,2,2,214,32,74517,2
20939,95,2,2,140,24,74517,2
20940,478,1,25,228,34,74728,1
20941,712,23,17,140,24,74594,1
20942,440,1,10,26,6,74593,3
20943,891,4,12,187,28,74666,4
20944,152,21,17,195,27,74486,1
20945,884,7,16,102,13,74504,2
20945,884,7,16,37,8,74504,3
20946,775,11,13,211,31,74811,5
20946,775,11,13,43,10,74811,2
20948,408,15,1,164,14,74822,4
20950,127,15,1,105,21,74569,4
20952,413,5,4,21,4,74535,1
20954,965,8,18,184,14,74671,2
20956,838,8,11,173,38,74648,4
20956,838,8,11,93,17,74648,4
20958,376,1,6,133,13,74570,2
20960,355,9,12,122,22,74542,1
20962,306,13,4,202,38,74565,1
20964,553,19,10,172,25,74564,1
20966,123,18,4,115,41,74594,3
20968,650,24,8,105,21,74521,1
20970,7,14,12,199,20,74569,4
20972,431,14,20,14,3,74635,4
20974,306,21,19,111,25,74747,1
20976,537,17,15,174,14,74789,1
20978,210,2,20,24,7,74763,4
20980,71,2,17,84,18,74670,1
20980,71,2,17,41,9,74670,1
20982,991,5,24,71,14,74531,1
20984,49,2,12,106,21,74520,5
21004,193,15,19,175,39,74541,1
21005,567,20,13,69,13,74800,1
21006,938,21,16,150,16,74792,4
21007,455,5,14,232,36,74799,1
21008,667,6,20,218,34,74638,3
21008,667,6,20,1,1,74638,2
21008,667,6,20,174,14,74638,3
21009,101,24,24,27,7,74747,3
21009,101,24,24,4,1,74747,5
21009,101,24,24,206,31,74747,3
21010,840,6,1,91,17,74752,4
21011,496,18,5,225,34,74807,1
21012,46,11,1,36,8,74562,3
21013,57,10,14,187,28,74810,4
21013,57,10,14,18,6,74810,5
21014,172,20,21,207,31,74798,1
21015,362,9,26,59,11,74749,2
21016,862,23,18,183,18,74734,3
21017,239,18,18,51,9,74691,1
21018,930,13,17,178,39,74753,3
21019,782,24,23,120,18,74700,3
21020,545,20,15,49,10,74668,2
21021,348,8,13,150,16,74820,4
21022,803,15,17,64,12,74516,2
21022,803,15,17,175,39,74516,3
21023,527,7,11,133,13,74484,3
21023,527,7,11,200,27,74484,2
21023,527,7,11,45,10,74484,5
21025,80,15,3,30,6,74687,1
21027,4,18,26,34,7,74656,1
21029,482,11,24,138,24,74751,1
21031,478,22,18,93,17,74819,4
21031,478,22,18,224,34,74819,1
21031,478,22,18,100,25,74819,3
21033,558,1,19,33,6,74497,3
21033,558,1,19,169,13,74497,3
21035,35,9,1,215,33,74494,3
21037,470,3,15,156,40,74655,4
21037,470,3,15,140,24,74655,2
21039,471,12,23,191,19,74505,1
21041,259,7,26,64,12,74565,4
21043,11,2,10,214,32,74640,3
21045,676,11,4,15,3,74576,1
21047,379,15,5,75,16,74723,3
21049,458,20,10,153,22,74583,4
21051,734,17,26,99,25,74493,4
21053,332,2,25,40,8,74636,3
21053,332,2,25,183,18,74636,1
21053,332,2,25,9,22,74636,5
21055,417,3,19,150,16,74665,2
21055,417,3,19,172,25,74665,5
21057,310,5,14,32,6,74523,3
21057,310,5,14,169,13,74523,2
21057,310,5,14,137,23,74523,3
21059,528,13,1,33,6,74789,3
21061,632,20,1,40,8,74727,1
21081,297,19,25,162,18,74725,1
21082,238,8,14,226,34,74746,2
21082,238,8,14,118,18,74746,2
21083,728,14,20,21,4,74539,3
21083,728,14,20,141,24,74539,3
21083,728,14,20,40,8,74539,5
21084,1000,6,4,12,2,74777,5
21084,1000,6,4,154,40,74777,3
21085,182,1,10,89,23,74702,4
21086,207,1,5,91,17,74604,4
21087,530,16,8,130,18,74701,1
21088,409,16,20,29,4,74829,1
21089,259,10,16,205,31,74633,1
21089,259,10,16,10,22,74633,4
21090,227,22,18,85,18,74598,1
21091,339,16,21,174,14,74691,2
21092,481,12,17,53,9,74565,4
21093,929,22,10,28,7,74679,2
21094,29,4,3,211,31,74691,1
